Name,Salary,Age,Province,Job
Daniel Taylor,142278.32,25,UK,Analyst
Ethan Brown,98549.2,44,India,Executive
Sophia Martinez,85565.84,51,Japan,Developer
Ethan Martinez,34513.67,47,Germany,Analyst
Mia Brown,45339.72,32,Australia,Consultant
Ava Moore,90973.25,35,Japan,Executive
Mason Brown,58227.95,48,UK,Assistant
Mason Anderson,147839.1,45,USA,Manager
Sophia Wilson,126394.86,40,Brazil,Developer
Ava Martinez,119828.28,40,India,Manager
Lily Brown,52673.56,24,Australia,Analyst
Emma Moore,65475.24,25,Canada,Consultant
Logan Taylor,97261.76,45,USA,Assistant
Mason Hernandez,144619.82,34,Mexico,Executive
Ava Hernandez,87494.81,47,Mexico,Assistant
Lily Taylor,67741.4,42,Brazil,Consultant
Lily Jackson,39667.76,42,India,Assistant
Daniel Anderson,113240.58,44,Canada,Consultant
Ethan Davis,88609.78,39,Australia,Consultant
Lily Hernandez,75824.9,55,USA,Analyst
Sophia Brown,68754.5,49,UK,Consultant
Mia Moore,46195.44,50,Australia,Consultant
Sophia Moore,145005.3,60,Japan,Consultant
Mason Anderson,120007.88,39,USA,Developer
Mason Wilson,54029.27,50,Germany,Consultant
Lucas Davis,118576.23,25,Germany,Assistant
Logan Davis,106711.66,42,Japan,Assistant
Mia Thomas,129690.0,23,Brazil,Manager
Emma Anderson,53283.43,50,India,Consultant
Sophia Martinez,138677.05,52,UK,Manager
Lucas Thomas,94449.41,26,USA,Developer
Sophia Davis,93124.61,55,Mexico,Developer
Mason Hernandez,90844.09,22,France,Manager
Mia Anderson,116429.2,52,USA,Consultant
Ethan Anderson,103514.25,53,Germany,Executive
Sophia Hernandez,142158.9,33,France,Analyst
Logan Davis,119260.22,36,France,Consultant
Mason Wilson,133786.9,43,India,Executive
Mia Taylor,114691.42,46,India,Developer
Mason Thomas,30898.14,34,Australia,Consultant
Logan Martinez,106882.31,47,India,Developer
Lily Taylor,44606.68,23,Mexico,Manager
Daniel Jackson,131824.26,28,Germany,Assistant
Daniel Martinez,142496.06,49,Japan,Manager
Emma Hernandez,127274.8,26,Brazil,Manager
Emma Anderson,82260.09,28,Brazil,Manager
Lily Taylor,40256.17,51,India,Manager
Ethan Martinez,42461.83,35,Mexico,Analyst
Daniel Brown,94041.78,38,Canada,Consultant
